value,ij,t
0.0,n27 => n21,51
0.0,n27 => n21,52
0.0,n27 => n21,53
0.0,n27 => n21,54
0.0,n27 => n21,55
0.0,n27 => n21,56
0.0,n27 => n21,57
0.0,n27 => n21,58
0.0,n27 => n21,59
0.0,n27 => n21,60
0.0,n27 => n21,61
0.0,n27 => n21,62
0.0,n27 => n21,63
0.0,n27 => n21,64
0.0,n27 => n21,65
0.0,n27 => n21,66
0.0,n27 => n21,67
0.0,n27 => n21,68
0.0,n27 => n21,69
0.0,n27 => n21,70
0.0,n27 => n21,71
0.0,n27 => n21,72
0.0,n27 => n21,73
0.0,n27 => n21,74
0.0,n27 => n21,75
0.0,n27 => n21,76
0.0,n27 => n21,77
0.0,n27 => n21,78
0.0,n27 => n21,79
0.0,n27 => n21,80
0.0,n27 => n21,81
0.0,n27 => n21,82
0.0,n27 => n21,83
0.0,n27 => n21,84
0.0,n27 => n21,85
0.0,n27 => n21,86
0.0,n27 => n21,87
0.0,n27 => n21,88
0.0,n27 => n21,89
0.0,n27 => n21,90
0.0,n27 => n21,91
0.0,n27 => n21,92
0.0,n27 => n21,93
0.0,n27 => n21,94
0.0,n27 => n21,95
0.0,n27 => n21,96
0.0,n10 => n18,0
0.0,n10 => n18,1
0.0,n10 => n18,2
0.0,n10 => n18,3
0.0,n10 => n18,4
0.0,n10 => n18,5
0.0,n10 => n18,6
